             lon,lat,ele
                        138.803447,                        -35.030085,                        360.182
                        138.803201,                        -35.029957,                        359.614
                        138.802954,                        -35.029828,                        359.047
                        138.802724,                        -35.029699,                        358.556
                        138.802477,                        -35.029578,                        358.562
                        138.802239,                        -35.029453,                        357.455
                        138.801986,                        -35.029336,                        356.846
                        138.801732,                        -35.029218,                        356.236
                        138.801478,                        -35.029094,                        355.053
                        138.801225,                        -35.028977,                        354.444
                        138.800971,                        -35.028859,                        353.835
                        138.800711,                        -35.028746,                        352.61
                        138.80045,                        -35.02864,                        351.959
                        138.800204,                        -35.028534,                        351.385
                        138.799952,                        -35.028424,                        349.621
                        138.799691,                        -35.028318,                        348.971
                        138.799431,                        -35.028226,                        347.739
                        138.799179,                        -35.028124,                        346.549
                        138.798911,                        -35.028022,                        345.283
                        138.798651,                        -35.027923,                        343.477
                        138.798376,                        -35.027832,                        342.169
                        138.798101,                        -35.027742,                        340.861
                        138.797833,                        -35.027647,                        340.169
                        138.797557,                        -35.027556,                        338.861
                        138.797291,                        -35.027476,                        337.588
                        138.797008,                        -35.027389,                        335.664
                        138.796733,                        -35.027306,                        334.93
                        138.79645,                        -35.027226,                        333.581
                        138.796184,                        -35.027146,                        332.308
                        138.795908,                        -35.02707,                        332.149
                        138.795634,                        -35.026994,                        330.26
                        138.795367,                        -35.026921,                        329.562
                        138.795093,                        -35.026853,                        328.248
                        138.794819,                        -35.026784,                        326.933
                        138.794536,                        -35.026719,                        326.732
                        138.794262,                        -35.02665,                        325.418
                        138.793981,                        -35.026593,                        324.062
                        138.793698,                        -35.026528,                        323.862
                        138.793424,                        -35.026459,                        322.548
                        138.793142,                        -35.026395,                        322.348
                        138.792859,                        -35.026322,                        321.574
                        138.792578,                        -35.026265,                        320.218
                        138.792296,                        -35.026193,                        319.445
                        138.791739,                        -35.026059,                        317.932
                        138.791739,                        -35.026059,                        317.932
                        138.791457,                        -35.025995,                        317.732
                        138.7909,                        -35.025861,                        316.22
                        138.790625,                        -35.025785,                        316.063
                        138.790625,                        -35.025785,                        316.063
                        138.790068,                        -35.025659,                        315.125
                        138.789801,                        -35.025594,                        315.003
                        138.789801,                        -35.025594,                        315.003
                        138.789252,                        -35.025449,                        313.534
                        138.788984,                        -35.025369,                        313.994
                        138.788984,                        -35.025369,                        313.994
                        138.788456,                        -35.025198,                        313.226
                        138.788204,                        -35.02511,                        313.188
                        138.788204,                        -35.02511,                        313.188
                        138.787958,                        -35.025003,                        312.619
                        138.787475,                        -35.024786,                        312.096
                        138.787475,                        -35.024786,                        312.096
                        138.787021,                        -35.024532,                        312.316
                        138.786797,                        -35.024399,                        312.447
                        138.786797,                        -35.024399,                        312.447
                        138.786581,                        -35.024255,                        312.621
                        138.78617,                        -35.023955,                        313.086
                        138.78617,                        -35.023955,                        313.086
                        138.785783,                        -35.023628,                        312.523
                        138.785604,                        -35.02345,                        312.899
                        138.785604,                        -35.02345,                        312.899
                        138.785261,                        -35.023085,                        313.155
                        138.785097,                        -35.022898,                        313.035
                        138.785097,                        -35.022898,                        313.035
                        138.784806,                        -35.022506,                        314.144
                        138.784681,                        -35.0223,                        313.645
                        138.784681,                        -35.0223,                        313.645
                        138.784435,                        -35.021877,                        314.418
                        138.784324,                        -35.021656,                        314.577
                        138.784324,                        -35.021656,                        314.577
                        138.78414,                        -35.021201,                        315.09
                        138.784059,                        -35.020965,                        315.984
                        138.784059,                        -35.020965,                        315.984
                        138.783936,                        -35.020501,                        316.23
                        138.783878,                        -35.02026,                        316.087
                        138.783878,                        -35.02026,                        316.087
                        138.783801,                        -35.01978,                        317.145
                        138.783767,                        -35.019549,                        317.113
                        138.783767,                        -35.019549,                        317.113
                        138.783732,                        -35.01931,                        318.237
                        138.783679,                        -35.018841,                        319.405
                        138.783679,                        -35.018841,                        319.405
                        138.78361,                        -35.018379,                        321.072
                        138.783583,                        -35.018144,                        321.657
                        138.783583,                        -35.018144,                        321.657
                        138.78355,                        -35.017921,                        322.2
                        138.783496,                        -35.017458,                        323.944
                        138.783496,                        -35.017458,                        323.944
                        138.783427,                        -35.016989,                        325.038
                        138.783401,                        -35.016762,                        326.197
                        138.783401,                        -35.016762,                        326.197
                        138.783332,                        -35.0163,                        327.866
                        138.783305,                        -35.016065,                        328.452
                        138.783305,                        -35.016065,                        328.452
                        138.783236,                        -35.015604,                        330.121
                        138.783209,                        -35.015369,                        330.707
                        138.783209,                        -35.015369,                        330.707
                        138.783148,                        -35.014903,                        332.993
                        138.783113,                        -35.014665,                        334.119
                        138.783113,                        -35.014665,                        334.119
                        138.783051,                        -35.014192,                        335.832
                        138.783016,                        -35.013954,                        336.958
                        138.783016,                        -35.013954,                        336.958
                        138.782946,                        -35.013484,                        339.785
                        138.782904,                        -35.01325,                        340.296
                        138.782904,                        -35.01325,                        340.296
                        138.782819,                        -35.012774,                        342.473
                        138.782768,                        -35.012544,                        344.098
                        138.782768,                        -35.012544,                        344.098
                        138.782702,                        -35.012307,                        345.072
                        138.782555,                        -35.01184,                        347.519
                        138.782555,                        -35.01184,                        347.519
                        138.78237,                        -35.011393,                        350.344
                        138.782258,                        -35.011172,                        352.238
                        138.782258,                        -35.011172,                        352.238
                        138.782026,                        -35.010734,                        355.409
                        138.781899,                        -35.010528,                        356.644
                        138.781899,                        -35.010528,                        356.644
                        138.781607,                        -35.010114,                        359.502
                        138.781458,                        -35.009919,                        360.619
                        138.781458,                        -35.009919,                        360.619
                        138.781128,                        -35.009539,                        363.274
                        138.780955,                        -35.009357,                        366.002
                        138.780955,                        -35.009357,                        366.002
                        138.78058,                        -35.009008,                        368.994
                        138.780385,                        -35.008838,                        369.874
                        138.780385,                        -35.008838,                        369.874
                        138.779989,                        -35.00853,                        373.314
                        138.779771,                        -35.008378,                        374.65
                        138.779771,                        -35.008378,                        374.65
                        138.779346,                        -35.008108,                        377.347
                        138.779122,                        -35.00799,                        378.632
                        138.779122,                        -35.00799,                        378.632
                        138.778683,                        -35.007757,                        380.662
                        138.778468,                        -35.00765,                        381.982
                        138.778468,                        -35.00765,                        381.982
                        138.778015,                        -35.007454,                        385.076
                        138.777785,                        -35.007369,                        386.311
                        138.777785,                        -35.007369,                        386.311
                        138.777325,                        -35.007207,                        389.354
                        138.777104,                        -35.007133,                        390.623
                        138.777104,                        -35.007133,                        390.623
                        138.776655,                        -35.007018,                        393.111
                        138.776434,                        -35.006966,                        394.372
                        138.776434,                        -35.006966,                        394.372
                        138.776001,                        -35.006873,                        396.928
                        138.775797,                        -35.006835,                        397.683
                        138.775797,                        -35.006835,                        397.683
                        138.775396,                        -35.006756,                        399.809
                        138.775223,                        -35.006725,                        401.291
